Home,SqFt,Bedrooms,Bathrooms,Offers,Neighborhood,Price
1,1790,2,2,2,East,114300
2,2030,4,2,3,East,114200
3,1740,3,2,1,East,114800
4,1980,3,2,3,East,94700
5,2130,3,3,3,East,119800
6,1780,3,2,2,North,114600
7,1830,3,3,3,West,151600
8,2160,4,2,2,West,150700
9,2110,4,2,3,East,119200
10,1730,3,3,3,East,104000
11,2030,3,2,3,East,132500
12,1870,2,2,2,East,123000
13,1910,3,2,4,North,102600
14,2150,3,3,5,North,126300
15,2590,4,3,4,West,176800
16,1780,4,2,1,West,145800
17,2190,3,3,4,East,147100
18,1990,3,3,4,North,83600
19,1700,2,2,1,East,111400
20,1920,3,3,2,West,167200
21,1790,3,2,3,East,116200
22,2000,3,2,4,North,113800
23,1690,3,2,3,North,91700
24,1820,3,2,3,North,106100
25,2210,4,3,2,East,156400
26,2290,4,3,3,North,149300
27,2000,4,2,3,West,137000
28,1700,3,2,2,East,99300
29,1600,2,2,3,North,69100
30,2040,4,3,1,West,188000
31,2250,4,3,3,West,182000
32,1930,2,2,2,North,112300
33,2250,3,3,3,East,135000
34,2280,5,3,4,East,139600
35,2000,2,2,3,North,117800
36,2080,3,3,3,North,117100
37,1880,2,2,2,North,117500
38,2420,4,3,4,West,147000
39,1720,3,2,1,West,131300
40,1740,3,2,2,North,108200
41,1560,2,2,1,East,106600
42,1840,4,3,2,West,133600
43,1990,2,2,3,East,105600
44,1920,3,2,1,East,154000
45,1940,3,3,2,West,166500
46,1810,3,2,3,East,103200
47,1990,2,3,2,North,129800
48,2050,3,2,6,North,90300
49,1980,2,2,2,East,115900
50,1700,3,2,3,North,107500
51,2100,3,2,3,East,151100
52,1860,2,2,3,North,91100
53,2150,2,3,4,North,117400
54,2100,3,2,3,North,130800
55,1650,3,2,3,North,81300
56,1720,2,2,2,East,125700
57,2190,3,2,3,East,140900
58,2240,4,3,3,West,152300
59,1840,3,3,1,West,138100
60,2090,4,2,1,West,155400
61,2200,3,3,1,West,180900
62,1610,2,2,2,North,100900
63,2220,4,3,2,West,161300
64,1910,2,3,2,East,120500
65,1860,3,2,2,West,130300
66,1450,2,2,1,North,111100
67,2210,3,3,4,North,126200
68,2040,4,3,3,East,151900
69,2140,3,2,4,North,93600
70,2080,4,3,3,West,165600
71,1950,3,3,3,West,166700
72,2160,4,2,1,West,157600
73,1650,3,2,3,North,107300
74,2040,3,3,2,East,125700
75,2140,3,3,3,West,144200
76,1900,2,2,2,North,106900
77,1930,3,2,2,West,129800
78,2280,4,3,3,West,176500
79,2130,3,2,3,North,121300
80,1780,4,2,1,West,143600
81,2190,3,3,4,East,143400
82,2140,4,3,2,West,184300
83,2050,2,2,1,West,164800
84,2410,3,3,2,East,147700
85,1520,2,2,3,North,90500
86,2250,4,3,2,West,188300
87,1900,4,2,4,North,102700
88,1880,3,3,1,West,172500
89,1930,3,3,2,North,127700
90,2010,2,2,4,North,97800
91,1920,4,2,2,West,143100
92,2150,3,2,2,East,116500
93,2110,3,2,2,West,142600
94,2080,3,3,2,East,157100
95,2150,4,3,3,West,160600
96,1970,2,2,1,West,152500
97,2440,3,3,3,East,133300
98,2000,2,2,1,East,126800
99,2060,3,2,1,West,145500
100,2080,3,3,2,West,171000
101,2010,3,2,5,North,103200
102,2260,3,3,5,East,123100
103,2410,3,3,4,East,136800
104,2440,4,3,3,West,211200
105,1910,3,2,4,East,82300
106,2530,4,3,4,West,146900
107,2130,3,2,4,North,108500
108,1890,3,2,1,East,134000
109,1990,3,3,3,East,117000
110,2110,3,2,3,East,108700
111,1710,2,2,1,North,111600
112,1740,2,2,2,North,114900
113,1940,2,2,2,East,123600
114,2000,3,2,3,North,115700
115,2010,4,3,2,East,124500
116,1900,3,3,3,North,102500
117,2290,5,4,1,West,199500
118,1920,3,2,2,North,117800
119,1950,3,2,3,North,150200
120,1920,2,2,4,North,109700
121,1930,2,3,3,North,110400
122,1930,3,3,3,East,105600
123,2060,2,2,1,East,144800
124,1900,3,3,3,East,119700
125,2160,4,3,3,East,147900
126,2070,2,2,2,North,113500
127,2020,3,3,1,West,149900
128,2250,3,3,4,North,124600
